Gender,Year,Name,State_Count
F,2014,Leona,26
F,2014,Lianna,26
F,2014,Margot,26
F,2014,Mckayla,26
F,2014,Patricia,26
F,2014,Saige,26
F,2014,Shifra,26
F,2014,Thea,26
F,2014,Wynter,26
F,2014,Amani,25
F,2014,Anabel,25
F,2014,Bruchy,25
F,2014,Chanel,25
F,2014,Courtney,25
F,2014,Elyse,25
F,2014,Emelia,25
F,2014,Flora,25
F,2014,Henny,25
F,2014,Isabela,25
F,2014,Jannat,25
F,2014,Jaylynn,25
F,2014,Joselyn,25
F,2014,Kadence,25
F,2014,Krystal,25
F,2014,Leyla,25
F,2014,Lilyanna,25
F,2014,Mallory,25
F,2014,Marie,25
F,2014,Sally,25
F,2014,Sanaa,25
F,2014,Sandra,25
F,2014,Selah,25
F,2014,Tess,25
F,2014,Yaretzi,25
F,2014,Aicha,24
F,2014,Anais,24
F,2014,Anika,24
F,2014,Cameron,24
F,2014,Claudia,24
F,2014,Denise,24
F,2014,Elsie,24
F,2014,Greta,24
F,2014,Kaelyn,24
F,2014,Khadijah,24
F,2014,Kristina,24
F,2014,Liv,24
F,2014,Louisa,24
F,2014,Macie,24
F,2014,Marianna,24
F,2014,Saniyah,24
F,2014,Sarina,24
F,2014,Tianna,24
F,2014,Alannah,23
F,2014,Alissa,23
F,2014,Avianna,23
F,2014,Britney,23
F,2014,Carmella,23
F,2014,Demi,23
F,2014,Elisheva,23
F,2014,Emmy,23
F,2014,Gina,23
F,2014,Golda,23
F,2014,Jemma,23
F,2014,Kaliyah,23
F,2014,Katalina,23
F,2014,Kayleen,23
F,2014,Kimora,23
F,2014,Lindsey,23
F,2014,Marina,23
F,2014,Myra,23
F,2014,Nicolette,23
F,2014,Raven,23
F,2014,Roselyn,23
F,2014,Rosemary,23
F,2014,Sky,23
F,2014,Yasmine,23
F,2014,Zoya,23
F,2014,Aimee,22
F,2014,Aiza,22
F,2014,Alondra,22
F,2014,Annika,22
F,2014,Arden,22
F,2014,Aryana,22
F,2014,Coraline,22
F,2014,Danika,22
F,2014,Emmeline,22
F,2014,Etty,22
F,2014,Evie,22
F,2014,Goldy,22
F,2014,Heather,22
F,2014,Jaliyah,22
F,2014,Janice,22
F,2014,Kailee,22
F,2014,Kaitlin,22
F,2014,Khadija,22
F,2014,Khaleesi,22
F,2014,Nahla,22
F,2014,Perl,22
F,2014,Rebekah,22
F,2014,Renee,22
F,2014,Rina,22
F,2014,Samiya,22
F,2014,Sanai,22
F,2014,Tamar,22
F,2014,Abrielle,21
F,2014,Angeline,21
F,2014,Azalea,21
F,2014,Blair,21
F,2014,Cara,21
F,2014,Carolyn,21
F,2014,Caylee,21
F,2014,Egypt,21
F,2014,Faye,21
F,2014,Henchy,21
F,2014,Jaida,21
F,2014,Journee,21
F,2014,Katelynn,21
F,2014,Kaya,21
F,2014,Liberty,21
F,2014,Malak,21
F,2014,Mika,21
F,2014,Queenie,21
F,2014,Roizy,21
F,2014,Ruchy,21
F,2014,Sariah,21
F,2014,Sariyah,21
F,2014,Sheila,21
F,2014,Shiloh,21
F,2014,Zahara,21
F,2014,Zelda,21
F,2014,Aarya,20
F,2014,Aliya,20
F,2014,Aminah,20
F,2014,Antonella,20
F,2014,Astrid,20
F,2014,Aubriella,20
F,2014,Avigail,20
F,2014,Barbara,20
F,2014,Carla,20
F,2014,Charlize,20
F,2014,Clare,20
F,2014,Daleyza,20
F,2014,Dalia,20
F,2014,Emmalyn,20
F,2014,Farrah,20
F,2014,Iliana,20
F,2014,Jana,20
F,2014,Jaylene,20
F,2014,Joelle,20
F,2014,Kacey,20
F,2014,Leora,20
F,2014,Lexie,20
F,2014,Lilia,20
F,2014,Madalyn,20
F,2014,Maliah,20
F,2014,Mirel,20
F,2014,Myah,20
F,2014,Nola,20
F,2014,Pamela,20
F,2014,Perel,20
F,2014,Perla,20
F,2014,Rory,20
F,2014,Syeda,20
F,2014,Tamia,20
F,2014,Wendy,20
F,2014,Addisyn,19
F,2014,Amayah,19
F,2014,Ariah,19
F,2014,Ariela,19
F,2014,Audrina,19
F,2014,Cayla,19
F,2014,Charleigh,19
F,2014,Chavy,19
F,2014,Clarissa,19
F,2014,Clementine,19
F,2014,Desiree,19
F,2014,Donna,19
F,2014,Frady,19
F,2014,Hawa,19
F,2014,Ivanna,19
F,2014,Jaslyn,19
F,2014,Jaylin,19
F,2014,Judy,19
F,2014,Julianne,19
F,2014,Laurel,19
F,2014,Lesly,19
F,2014,Litzy,19
F,2014,Liya,19
F,2014,Mariella,19
F,2014,Marlee,19
F,2014,Mckinley,19
F,2014,Meadow,19
F,2014,Miya,19
F,2014,Montserrat,19
F,2014,Nashla,19
F,2014,Pia,19
F,2014,Rayna,19
F,2014,Reina,19
F,2014,Stacey,19
F,2014,Valery,19
F,2014,Viola,19
F,2014,Alianna,18
F,2014,Amya,18
F,2014,Anjali,18
F,2014,Ashly,18
F,2014,Audriana,18
F,2014,Baylee,18
F,2014,Carter,18
F,2014,Cordelia,18
F,2014,Estella,18
F,2014,Evelynn,18
F,2014,Giulia,18
F,2014,Hinda,18
F,2014,Janae,18
F,2014,Jimena,18
F,2014,Judith,18
F,2014,Kaylynn,18
F,2014,Leena,18
F,2014,Lilith,18
F,2014,Madalynn,18
F,2014,Mara,18
F,2014,Marielle,18
F,2014,Marisol,18
F,2014,Paloma,18
F,2014,Raelyn,18
F,2014,Riya,18
F,2014,Rosie,18
F,2014,Safa,18
F,2014,Shelby,18
F,2014,Stacy,18
F,2014,Sunny,18
F,2014,Susan,18
F,2014,Tabitha,18
F,2014,Taryn,18
F,2014,Zaniyah,18
F,2014,Addyson,17
F,2014,Alayah,17
F,2014,Ally,17
F,2014,Ameera,17
F,2014,Ani,17
F,2014,Asha,17
F,2014,Atara,17
F,2014,Ayala,17
F,2014,Aziza,17
F,2014,Brigitte,17
F,2014,Cheyenne,17
F,2014,Devyn,17
F,2014,Farah,17
F,2014,Frimet,17
F,2014,Goldie,17
F,2014,Gracelynn,17
F,2014,Hafsa,17
F,2014,Isha,17
F,2014,Jianna,17
F,2014,Kelsie,17
F,2014,Layan,17
F,2014,Laylah,17
F,2014,Mariama,17
F,2014,Maxine,17
F,2014,Meredith,17
F,2014,Noemi,17
F,2014,Paulina,17
F,2014,Priya,17
F,2014,Reyna,17
F,2014,Royal,17
F,2014,Shaina,17
F,2014,Sheyla,17
F,2014,Teresa,17
F,2014,Theodora,17
F,2014,Winnie,17
F,2014,Zaria,17
F,2014,Zaynab,17
F,2014,Alisson,16
F,2014,Amari,16
F,2014,August,16
F,2014,Ayanna,16
F,2014,Blessing,16
F,2014,Brinley,16
F,2014,Brucha,16
F,2014,Elana,16
F,2014,Eleni,16
F,2014,Ema,16
F,2014,Emani,16
F,2014,Eshaal,16
F,2014,Fradel,16
F,2014,Gittel,16
F,2014,Hailee,16
F,2014,Hillary,16
F,2014,Joanne,16
F,2014,Kassandra,16
F,2014,Keily,16
F,2014,Kourtney,16
F,2014,Kylah,16
F,2014,Lillianna,16
F,2014,Luisa,16
F,2014,Malani,16
F,2014,Menucha,16
F,2014,Millie,16
F,2014,Miyah,16
F,2014,Mona,16
F,2014,Nala,16
F,2014,Nathalia,16
F,2014,Paislee,16
F,2014,Poppy,16
F,2014,Ramona,16
F,2014,Rihanna,16
F,2014,Rita,16
F,2014,River,16
F,2014,Ryann,16
F,2014,Sana,16
F,2014,Sofie,16
F,2014,Soraya,16
F,2014,Tamara,16
F,2014,Theresa,16
F,2014,Tziporah,16
F,2014,Violeta,16
F,2014,Amaris,15
F,2014,Ameena,15
F,2014,Analia,15
F,2014,Angely,15
F,2014,Arely,15
F,2014,Azaria,15
F,2014,Beatrix,15
F,2014,Brenna,15
F,2014,Bristol,15
F,2014,Brynlee,15
F,2014,Cassie,15
F,2014,Charlene,15
F,2014,Cristina,15
F,2014,Dani,15
F,2014,Delia,15
F,2014,Dora,15
F,2014,Fallon,15
F,2014,Florence,15
F,2014,Janessa,15
F,2014,Kai,15
F,2014,Kaila,15
F,2014,Karlee,15
F,2014,Lauryn,15
F,2014,Leela,15
F,2014,Lillie,15
F,2014,Lillyana,15
F,2014,Lillyanna,15
F,2014,Macy,15
F,2014,Madyson,15
F,2014,Maleah,15
F,2014,Malika,15
F,2014,Miley,15
F,2014,Nelly,15
F,2014,Nya,15
F,2014,Paityn,15
F,2014,Paola,15
F,2014,Paula,15
F,2014,Perry,15
F,2014,Reilly,15
F,2014,Rena,15
F,2014,Ruchel,15
F,2014,Safiya,15
F,2014,Seraphina,15
F,2014,Shreya,15
F,2014,Sylvie,15
F,2014,Symphony,15
F,2014,Taliyah,15
F,2014,Talya,15
F,2014,Tina,15
F,2014,Tzipora,15
F,2014,Vicky,15
F,2014,Aida,14
F,2014,Aiyana,14
F,2014,Amal,14
F,2014,Ariane,14
F,2014,Ariya,14
F,2014,Armani,14
F,2014,Ashlynn,14
F,2014,Aurelia,14
F,2014,Ayleen,14
F,2014,Belle,14
F,2014,Betty,14
F,2014,Cecily,14
F,2014,Corinne,14
F,2014,Dafne,14
F,2014,Ellianna,14
F,2014,Elodie,14
F,2014,Ember,14
F,2014,Emerald,14
F,2014,Estelle,14
F,2014,Fernanda,14
F,2014,Hallie,14
F,2014,Inaaya,14
F,2014,Inaya,14
F,2014,Ingrid,14
F,2014,Janiah,14
F,2014,Jaylee,14
F,2014,Kaelynn,14
F,2014,Kallie,14
F,2014,Kathy,14
F,2014,Keila,14
F,2014,Kennedi,14
F,2014,Kiley,14
F,2014,Leandra,14
F,2014,Leilah,14
F,2014,Liyana,14
F,2014,Lorena,14
F,2014,Love,14
F,2014,Lyra,14
F,2014,Madilynn,14
F,2014,Madina,14
F,2014,Magdalena,14
F,2014,Marlene,14
F,2014,Marlowe,14
F,2014,Melania,14
F,2014,Miabella,14
F,2014,Micaela,14
F,2014,Michal,14
F,2014,Miri,14
F,2014,Mollie,14
F,2014,Moriah,14
F,2014,Nailah,14
F,2014,Neriah,14
F,2014,Neveah,14
F,2014,Oumou,14
F,2014,Rebeca,14
F,2014,Regan,14
F,2014,Regina,14
F,2014,Remi,14
F,2014,Rifky,14
F,2014,Robin,14
F,2014,Salome,14
F,2014,Sanaya,14
F,2014,Silvia,14
F,2014,Sloan,14
F,2014,Temperance,14
F,2014,Valencia,14
F,2014,Vida,14
F,2014,Yasmeen,14
F,2014,Zenobia,14
F,2014,Agnes,13
F,2014,Aissatou,13
F,2014,Akira,13
F,2014,Aleeza,13
F,2014,Aleksandra,13
F,2014,Amora,13
F,2014,Ananya,13
F,2014,Arisha,13
F,2014,Avah,13
F,2014,Avalynn,13
F,2014,Avital,13
F,2014,Belinda,13
F,2014,Braelynn,13
F,2014,Caydence,13
F,2014,Celina,13
F,2014,Chelsey,13
F,2014,Dallas,13
F,2014,Dulce,13
F,2014,Elly,13
F,2014,Ester,13
F,2014,Fanta,13
F,2014,Frida,13
F,2014,Georgina,13
F,2014,Gisele,13
F,2014,Hadassa,13
F,2014,Hiba,13
F,2014,Honesty,13
F,2014,Idy,13
F,2014,Irina,13
F,2014,Isadora,13
F,2014,Jaclyn,13
F,2014,Janiya,13
F,2014,Jaslene,13
F,2014,Jayden,13
