"brth_yr","gndr","nm","Count","Rank"
2014,"MALE","Hershel","18","94"
2014,"MALE","Nathan","273","129"
2014,"MALE","Gregory","25","195"
2014,"FEMALE","Simone","22","74"
2014,"MALE","Meilech","12","100"
2014,"FEMALE","Fatoumata","47","9"
2014,"FEMALE","Bruchy","17","79"
2014,"MALE","Aayan","10","58"
2014,"FEMALE","Kayleen","15","68"
2014,"FEMALE","Aviva","14","82"
2014,"FEMALE","Lana","13","83"
2014,"MALE","George","100","193"
2014,"FEMALE","Arisha","10","40"
2014,"FEMALE","Amanda","56","173"
2014,"FEMALE","Chana","143","10"
2014,"FEMALE","Journee","11","40"
2014,"FEMALE","Willa","26","70"
2014,"MALE","Avrum","12","100"
2014,"FEMALE","Aliza","17","79"
2014,"MALE","Yaseen","12","100"
2014,"FEMALE","Inaaya","11","39"
2014,"MALE","Luis","98","35"
2014,"FEMALE","Jenny","20","30"
2014,"MALE","Reed","11","101"
2014,"MALE","John","270","158"
2014,"FEMALE","Alma","24","155"
2014,"MALE","Damon","17","51"
2014,"FEMALE","Lucy","58","41"
2014,"FEMALE","Aylin","45","41"
2014,"MALE","Shia","37","75"
2014,"MALE","Aahil","14","54"
2014,"FEMALE","Kali","12","39"
2014,"FEMALE","Victoria","286","81"
2014,"MALE","Issac","10","102"
2014,"FEMALE","Sasha","12","84"
2014,"FEMALE","Shira","24","72"
2014,"MALE","Baruch","16","96"
2014,"FEMALE","Malka","84","26"
2014,"FEMALE","Tamar","12","84"
2014,"MALE","Neil","13","55"
2014,"MALE","Steve","12","96"
2014,"MALE","Esteban","13","95"
2014,"FEMALE","Journey","13","38"
2014,"MALE","Gavriel","17","95"
2014,"FEMALE","Paige","64","166"
2014,"FEMALE","Irene","16","34"
2014,"FEMALE","Brucha","13","83"
2014,"MALE","Xavier","163","215"
2014,"MALE","Enrique","18","90"
2014,"MALE","Milo","28","84"
2014,"FEMALE","Isabel","85","147"
2014,"MALE","Ahmad","15","97"
2014,"MALE","Bennett","20","92"
2014,"FEMALE","Zainab","24","26"
2014,"FEMALE","Everly","14","82"
2014,"FEMALE","Amalia","15","68"
