,Name,Gender,National_Count,National_Rank,City_Count,City_Rank,State_Count,State_Rank
292,Alondra,F,915,710.0,15,68,22,1442.0
293,Jaylah,F,913,711.0,15,68,45,799.0
294,Bianca,F,905,715.0,37,142,73,532.5
295,Camilla,F,891,721.5,17,79,49,750.0
296,Vera,F,889,723.0,12,84,55,679.0
297,Catalina,F,888,724.0,19,64,45,799.0
298,Skye,F,886,726.0,17,34,58,653.5
299,Gia,F,885,727.5,40,189,110,358.0
300,Sloane,F,881,729.0,25,71,49,750.0
301,Aylin,F,880,730.0,45,41,73,532.5
302,Yaretzi,F,873,735.0,20,63,25,1318.0
303,Veronica,F,871,736.0,18,78,66,590.0
304,Giuliana,F,868,739.0,23,73,109,361.5
305,Esmeralda,F,866,741.0,19,64,34,1030.0
306,Ada,F,863,743.5,12,84,51,728.0
307,Lia,F,863,743.5,29,150,91,433.5
308,Carmen,F,853,752.0,14,69,34,1030.0
309,Ariella,F,843,757.0,48,131,114,348.5
310,Abby,F,842,758.5,27,23,56,671.0
311,Logan,F,830,770.5,14,37,41,855.0
312,Dylan,F,828,772.0,33,63,83,476.5
313,Elle,F,824,774.0,24,72,58,653.5
314,Malaysia,F,820,778.0,14,37,32,1090.5
315,Jazmin,F,818,779.0,33,50,62,620.0
316,Haylee,F,812,783.5,15,68,51,728.0
317,Nayeli,F,808,786.5,17,66,34,1030.0
318,Helen,F,802,791.0,35,144,63,612.5
319,Marilyn,F,797,792.5,13,70,38,920.5
320,Kamila,F,793,796.5,21,62,40,875.5
321,April,F,792,798.5,12,71,40,875.5
322,Carolina,F,786,803.5,23,156,36,970.0
323,Amina,F,782,806.0,64,133,96,406.0
324,Miracle,F,780,808.0,13,38,31,1118.0
325,Julie,F,779,809.0,14,82,58,653.5
326,Rowan,F,774,812.0,10,86,37,945.0
327,Angelique,F,772,815.0,17,66,38,920.5
328,Amira,F,767,822.0,34,113,68,569.5
329,Emely,F,767,822.0,60,33,102,379.5
330,Jayleen,F,767,822.0,25,58,40,875.5
331,Briana,F,765,824.0,14,69,56,671.0
332,Zara,F,762,828.0,51,50,88,446.5
333,Itzel,F,753,835.5,24,59,30,1145.0
334,Francesca,F,752,837.5,51,128,123,321.5
335,Nylah,F,740,846.0,49,85,79,495.0
336,Anaya,F,738,849.5,44,89,79,495.0
337,Kelly,F,738,849.5,30,103,55,679.0
338,Karina,F,737,852.0,13,37,45,799.0
339,Angelica,F,736,853.5,42,137,66,590.0
340,Maliyah,F,734,855.5,20,31,42,837.0
341,Jimena,F,731,857.5,11,72,18,1691.5
342,Melany,F,729,860.5,39,47,52,714.0
343,Jayda,F,727,863.5,13,38,36,970.0
344,Tiffany,F,726,865.5,49,84,70,556.5
345,Dahlia,F,721,869.0,13,83,52,714.0
346,Alejandra,F,716,872.0,17,66,33,1064.0
347,Sarai,F,713,876.0,32,102,51,728.0
348,Janelle,F,711,878.5,12,39,40,875.5
349,Annalise,F,704,886.0,12,71,50,740.0
350,Serena,F,703,887.0,40,106,71,547.5
351,Brittany,F,697,890.0,34,49,62,620.0
352,Joy,F,695,893.5,22,79,40,875.5
353,Cataleya,F,694,897.5,12,71,30,1145.0
354,Eve,F,694,897.5,18,78,53,700.5
355,Madisyn,F,690,902.0,14,37,46,784.5
356,Anabelle,F,686,906.0,10,73,43,819.5
357,Celeste,F,679,908.5,12,71,33,1064.0
358,Journee,F,678,910.5,11,40,21,1495.0
359,Luciana,F,673,914.0,18,65,64,604.5
360,Anya,F,670,917.0,10,40,52,714.0
361,Jazlyn,F,666,920.0,22,61,37,945.0
362,Zuri,F,666,920.0,21,30,51,728.0
363,Kailey,F,661,925.0,13,70,36,970.0
364,Michaela,F,660,926.0,13,83,63,612.5
365,Crystal,F,659,927.0,33,100,42,837.0
366,Nia,F,653,933.5,31,20,53,700.5
367,Guadalupe,F,651,936.0,29,54,39,899.0
368,Priscilla,F,650,937.5,10,40,36,970.0
369,Hanna,F,648,941.5,32,114,46,784.5
370,Maeve,F,648,941.5,30,66,85,463.0
371,Juniper,F,643,946.0,14,82,34,1030.0
372,Cynthia,F,634,952.5,32,101,54,688.5
373,Phoenix,F,633,955.0,10,41,36,970.0
374,Sylvia,F,633,955.0,28,118,44,808.5
375,Karen,F,631,957.5,19,64,49,750.0
376,Aleena,F,630,959.0,17,33,51,728.0
377,Caitlin,F,628,960.0,11,85,54,688.5
378,Helena,F,623,965.0,17,79,39,899.0
379,Imani,F,622,966.5,24,27,49,750.0
380,Julissa,F,621,969.0,15,68,33,1064.0
381,Karla,F,620,971.0,23,60,39,899.0
382,Elisa,F,619,972.5,14,69,43,819.5
383,Evie,F,619,972.5,12,84,22,1442.0
384,Lilian,F,617,976.5,10,86,38,920.5
385,Harlow,F,610,981.0,11,85,28,1211.5
386,Amara,F,606,985.5,12,39,33,1064.0
387,Lauryn,F,598,992.0,10,41,15,1926.0
388,Kaylie,F,594,995.0,10,73,32,1090.5
389,Colette,F,590,1002.0,15,81,42,837.0
390,Adelina,F,585,1009.5,11,85,43,819.5
391,Anabella,F,585,1009.5,10,73,38,920.5
392,Skyla,F,583,1015.0,44,90,61,627.5
393,Zariah,F,581,1017.5,10,41,27,1241.5
394,Bridget,F,578,1021.0,11,85,42,837.0
395,Monica,F,576,1024.0,12,71,35,996.5
396,Kaylin,F,565,1044.0,12,71,45,799.0
397,Danna,F,563,1048.0,31,52,43,819.5
398,Willa,F,562,1051.0,26,70,45,799.0
399,Aniya,F,561,1054.0,11,40,30,1145.0
400,Anne,F,559,1056.5,24,122,43,819.5
401,Tiana,F,559,1056.5,13,38,39,899.0
402,Angie,F,558,1058.5,19,64,50,740.0
403,Winter,F,557,1061.0,16,35,42,837.0
404,Aisha,F,544,1072.0,46,151,64,604.5
405,Aileen,F,541,1078.0,20,63,31,1118.0
406,Sasha,F,540,1081.0,12,84,46,784.5
407,Mariam,F,538,1088.0,66,86,87,451.5
408,Cecelia,F,535,1091.0,11,85,43,819.5
409,Montserrat,F,534,1093.5,15,68,19,1622.0
410,Mikaela,F,531,1098.0,11,72,51,728.0
411,Tatiana,F,529,1100.0,12,71,41,855.0
412,Liana,F,522,1115.5,27,152,57,664.5
413,Matilda,F,522,1115.5,18,78,32,1090.5
414,Jessie,F,506,1131.0,29,104,41,855.0
415,Blake,F,501,1137.5,11,85,46,784.5
416,Monserrat,F,498,1143.5,10,73,12,2275.5
417,Melina,F,496,1148.0,18,65,56,671.0
418,Maryam,F,494,1153.0,53,144,70,556.5
419,Beatrice,F,490,1164.5,44,52,59,640.0
420,Dayana,F,490,1164.5,16,67,34,1030.0
421,Frances,F,484,1176.0,22,74,34,1030.0
422,Shiloh,F,479,1185.0,10,41,21,1495.0
423,Rosa,F,477,1189.0,10,86,36,970.0
424,Mira,F,476,1192.5,17,79,36,970.0
425,Linda,F,470,1200.0,10,86,33,1064.0
